0|96.06|925|416|5.1|5.1|1|8
0.1|96.06|1064|420|5.1|5.1|1|8
0.2|96.05|1067|422|5.1|5.1|1|8
0.3|96.06|1070|422|5.1|5.1|1|8
0.4|96.06|1072|422|5.1|5.1|1|8
0.5|96.04|1075|423|5.1|5.1|2|8
0.6|95.76|1206|424|5.1|5.1|2|8
0.7|95.38|1647|426|5.2|5.2|3|8
0.8|95.21|1693|427|5.2|5.2|3|8
0.9|94.98|1709|428|5.2|5.2|3|8
1|94.98|1716|428|5.2|5.2|3|8
1.1|94.88|1722|428|5.2|5.2|3|8
1.2|94.91|1724|428|5.2|5.2|3|8
1.3|94.94|1724|428|5.2|5.2|3|8
1.4|94.94|1727|428|5.2|5.2|3|8
1.5|94.92|1729|428|5.2|5.2|3|8
1.6|94.91|1732|428|5.2|5.2|3|8
1.7|94.87|1732|428|5.2|5.2|3|8
1.8|94.94|1735|428|5.2|5.2|3|8
1.9|94.92|1737|428|5.2|5.2|3|8
2|94.94|1740|428|5.2|5.2|3|8
2.1|94.88|1740|428|5.2|5.2|3|8
2.2|94.91|1740|428|5.2|5.2|3|8
2.3|94.95|1740|428|5.2|5.2|3|8
2.4|94.9|1742|428|5.2|5.2|3|8
2.5|94.87|1742|428|5.2|5.2|3|8
2.6|94.95|1745|428|5.2|5.2|3|8
2.7|94.88|1747|428|5.2|5.2|4|8
2.8|95.1|1745|428|5.2|5.2|4|8
2.9|95.42|1737|429|5.2|5.2|4|8
3|95.94|1544|428|5.2|5.2|4|8
3.1|96.36|1101|426|5.2|5.2|5|8
3.2|96.56|1095|424|5.2|5.2|5|8
3.3|96.57|1093|424|5.2|5.2|5|8
3.4|96.57|1093|424|5.2|5.2|5|8
3.5|96.63|1093|424|5.2|5.2|5|8
3.6|96.67|1093|424|5.2|5.2|5|8
3.7|96.65|1090|424|5.2|5.2|5|8
3.8|96.64|1093|424|5.2|5.2|5|8
3.9|96.59|1090|424|5.2|5.2|5|8
4|96.65|1093|423|5.2|5.2|5|8
4.1|96.63|1090|423|5.2|5.2|5|8
4.2|96.67|1090|423|5.2|5.2|5|8
4.3|96.68|1090|423|5.2|5.2|5|8
4.4|96.64|1090|423|5.2|5.2|5|8
4.5|96.6|1090|423|5.3|5.3|5|8
4.6|96.64|1090|423|5.3|5.3|5|8
4.7|96.64|1090|423|5.3|5.3|5|8
4.8|96.64|1090|423|5.3|5.3|5|8
4.9|96.64|1090|423|5.3|5.3|5|8
5|96.65|1090|423|5.3|5.3|5|8
5.1|96.65|1090|423|5.3|5.3|2|8
5.2|96.43|1090|423|5.3|5.3|2|8
5.3|95.96|1111|423|5.3|5.3|2|8
5.4|95.5|1289|423|5.3|5.3|2|8
5.5|95.14|1722|426|5.3|5.3|3|8
5.6|94.84|1753|428|5.3|5.3|3|8
5.7|94.72|1758|428|5.3|5.3|3|8
5.8|94.66|1763|428|5.3|5.3|3|8
5.9|94.59|1765|429|5.3|5.3|3|8
6|94.71|1765|429|5.3|5.3|3|8
6.1|94.61|1765|429|5.3|5.3|3|8
6.2|94.67|1768|428|5.3|5.3|3|8
6.3|94.61|1768|429|5.3|5.3|3|8
6.4|94.67|1771|429|5.3|5.3|3|8
6.5|94.66|1771|429|5.3|5.3|3|8
6.6|94.66|1771|428|5.3|5.3|3|8
6.7|94.64|1771|428|5.3|5.3|3|8
6.8|94.64|1773|428|5.3|5.3|3|8
6.9|94.64|1773|428|5.3|5.3|3|8
7|94.63|1776|428|5.3|5.3|3|8
7.1|94.59|1776|429|5.3|5.3|3|8
7.2|94.68|1776|428|5.3|5.3|3|8
7.3|94.63|1778|428|5.3|5.3|3|8
7.4|94.66|1778|428|5.3|5.3|3|8
7.5|94.63|1778|428|5.3|5.3|4|8
7.6|94.86|1778|428|5.3|5.3|4|8
7.7|95.29|1768|429|5.3|5.3|4|8
7.8|95.78|1719|428|5.3|5.3|4|8
7.9|96.31|1165|426|5.3|5.3|5|8
8|96.56|1098|424|5.3|5.3|5|8
8.1|96.67|1095|424|5.3|5.3|5|8
8.2|96.68|1095|423|5.3|5.3|5|8
